# Gold Foil
# reference foil measured at the GILDA-BM08 Bemaline ESRF.FR
# Temperature 300 K
#
# energy     Io,      It       alpha     ----
12061.750800 0.675790 0.220190 1.121392 12062.915690
12063.813800 0.675470 0.220003 1.121766 12064.884810
12065.876540 0.675087 0.219843 1.121926 12066.740420
12067.956970 0.675863 0.220060 1.122091 12068.674320
12070.045120 0.677153 0.220547 1.121788 12070.793250
12072.167930 0.676817 0.220723 1.120490 12073.286160
12074.207770 0.676797 0.220923 1.119555 12075.303560
12076.313170 0.676097 0.220940 1.118445 12077.341190
12078.456270 0.675710 0.220963 1.117767 12079.228730
12080.537280 0.675617 0.221013 1.117403 12081.182220
12082.633020 0.676110 0.221160 1.117469 12083.314600
12084.743520 0.676787 0.221380 1.117475 12085.693480
12086.798840 0.675727 0.221143 1.116978 12087.830180
12088.904870 0.674850 0.221127 1.115755 12089.820640
12091.014680 0.675297 0.221713 1.113767 12091.738710
12093.101260 0.675040 0.222310 1.110699 12093.611430
12095.177580 0.675557 0.223420 1.106484 12095.673370
12097.279690 0.674893 0.224470 1.100813 12098.077580
12099.391580 0.674673 0.225483 1.095982 12100.270010
12101.522290 0.674753 0.226367 1.092191 12102.362440
12103.641760 0.675393 0.227190 1.089509 12104.243970
12105.756990 0.676427 0.227987 1.087537 12106.139380
12107.874010 0.676120 0.228303 1.085695 12108.199700
12109.935620 0.676423 0.228853 1.083738 12110.569860
12112.046150 0.676850 0.229243 1.082666 12112.753990
12114.169510 0.676710 0.229420 1.081688 12114.831940
12116.336850 0.676203 0.229403 1.081012 12116.763720
12118.396470 0.676370 0.229537 1.080677 12118.628850
12120.534240 0.676380 0.229553 1.080620 12120.714070
12122.611460 0.676003 0.229357 1.080920 12123.116550
12124.718600 0.675963 0.229110 1.081937 12125.305120
12126.788280 0.675457 0.228650 1.083197 12127.360830
12128.969430 0.676040 0.228560 1.084453 12129.346800
12131.057760 0.675907 0.228153 1.086037 12131.241190
12133.156920 0.675663 0.227650 1.087886 12133.309520
12135.283040 0.675980 0.227273 1.090010 12135.631230
12137.395840 0.674583 0.226360 1.091969 12137.968750
12139.465040 0.673567 0.225740 1.093203 12140.006010
12141.646970 0.673867 0.225680 1.093914 12142.074580
12143.718700 0.674017 0.225750 1.093827 12143.918910
12145.780080 0.673317 0.225690 1.093053 12145.973850
12147.878550 0.673583 0.226113 1.091575 12148.183950
12149.964650 0.673817 0.226803 1.088875 12150.585350
12152.051500 0.672953 0.227157 1.086036 12152.653420
12154.148210 0.673483 0.228050 1.082898 12154.668320
12156.288170 0.673307 0.228743 1.079600 12156.594020
12158.387440 0.673807 0.229783 1.075806 12158.620250
12160.439890 0.673353 0.230620 1.071499 12160.810210
12162.558890 0.673090 0.231663 1.066594 12163.244160
12164.736410 0.673473 0.232663 1.062856 12165.437810
12166.910700 0.673437 0.233457 1.059397 12167.530380
12169.049310 0.673760 0.234130 1.056997 12169.466060
12171.224210 0.673037 0.234313 1.055141 12171.548290
12173.329930 0.673597 0.234807 1.053869 12173.775680
12175.456710 0.674027 0.235120 1.053174 12176.250880
12177.560930 0.673933 0.235170 1.052823 12178.405780
12179.701460 0.673600 0.235083 1.052696 12180.489290
12181.878340 0.673540 0.235140 1.052366 12182.430900
12183.956440 0.674013 0.235447 1.051765 12184.442450
12186.023080 0.673597 0.235560 1.050666 12186.576060
12188.127080 0.673760 0.236000 1.049042 12189.047880
12190.215560 0.673510 0.236293 1.047429 12191.126290
12192.324130 0.673377 0.236530 1.046230 12193.210710
12194.509850 0.673717 0.236923 1.045073 12195.163720
12196.595540 0.673930 0.237087 1.044700 12197.142800
12198.647340 0.673273 0.236860 1.044682 12199.181070
12200.747780 0.674190 0.237103 1.045016 12201.640710
12202.893850 0.673617 0.236777 1.045544 12203.883630
12205.003980 0.673920 0.236747 1.046121 12205.983590
12207.122030 0.674163 0.236757 1.046440 12207.873840
12209.249030 0.673790 0.236490 1.047013 12209.820770
12211.368630 0.674053 0.236480 1.047446 12211.921970
12213.554390 0.674163 0.236480 1.047609 12214.444730
12215.701110 0.673627 0.236303 1.047560 12216.692860
12217.804670 0.674127 0.236557 1.047230 12218.792010
12219.928430 0.673610 0.236563 1.046435 12220.702210
12222.061150 0.674600 0.237207 1.045188 12222.646970
12224.168040 0.676280 0.238267 1.043217 12224.731900
12226.274670 0.674893 0.238347 1.040828 12227.017810
12228.399480 0.674530 0.238990 1.037594 12229.353790
12230.538390 0.674773 0.239767 1.034711 12231.462990
12232.596090 0.674523 0.240417 1.031633 12233.393620
12234.810360 0.675553 0.241447 1.028884 12235.306300
12236.962910 0.675707 0.242227 1.025885 12237.439570
12239.093690 0.676840 0.243297 1.023153 12239.671630
12241.255010 0.674920 0.243200 1.020710 12242.119040
12243.409950 0.674770 0.243583 1.018913 12244.251140
12245.496870 0.674280 0.243787 1.017352 12246.258000
12247.636940 0.674750 0.244260 1.016109 12248.157750
12249.805560 0.674203 0.244337 1.014985 12250.196200
12251.914310 0.674660 0.244743 1.013999 12252.417990
12254.047480 0.675860 0.245497 1.012703 12254.826420
12256.169090 0.676843 0.246140 1.011539 12256.971210
12258.292500 0.676590 0.246233 1.010786 12259.018350
12260.524820 0.676493 0.246420 1.009885 12260.962560
12262.688970 0.677057 0.246877 1.008866 12263.042960
12264.820950 0.677237 0.247207 1.007796 12265.195560
12266.972260 0.677453 0.247647 1.006338 12267.721560
12269.106840 0.677543 0.248053 1.004830 12269.835070
12271.304100 0.677657 0.248370 1.003721 12271.966220
12273.475350 0.677223 0.248513 1.002505 12273.889170
12275.654640 0.678243 0.249073 1.001759 12275.927790
12277.822360 0.677437 0.248993 1.000890 12278.133670
12280.012570 0.677260 0.249113 1.000147 12280.698270
12282.135390 0.677200 0.249167 0.999845 12282.818150
12284.287930 0.677520 0.249313 0.999729 12284.899010
12286.499190 0.677380 0.249350 0.999375 12286.836520
12288.716470 0.677723 0.249577 0.998973 12288.912980
12290.810360 0.677563 0.249620 0.998563 12291.055060
12292.961960 0.676787 0.249523 0.997804 12293.461870
12295.069810 0.676727 0.249643 0.997234 12295.642360
12297.303820 0.676877 0.249893 0.996455 12297.768800
12299.467140 0.676597 0.249997 0.995628 12299.707010
12301.670680 0.676817 0.250220 0.995060 12301.644550
12303.867790 0.676670 0.250430 0.994004 12303.832570
12306.021090 0.677543 0.251010 0.992981 12306.316820
12308.164800 0.676950 0.251117 0.991680 12308.544520
12310.312420 0.677123 0.251517 0.990344 12310.599470
12312.543940 0.676810 0.251767 0.988888 12312.573870
12314.708760 0.676777 0.252133 0.987383 12314.526770
12316.899330 0.676720 0.252640 0.985292 12316.667010
12319.100090 0.677690 0.253617 0.982866 12319.139040
12321.358900 0.677430 0.254147 0.980395 12321.506700
12323.528020 0.677487 0.254763 0.978055 12323.659050
12325.654200 0.677940 0.255487 0.975889 12325.585640
12327.869710 0.678310 0.256183 0.973711 12327.522590
12330.085010 0.678030 0.256613 0.971621 12329.718720
12332.267790 0.678170 0.257267 0.969285 12332.193330
12334.368990 0.677800 0.257593 0.967470 12334.462740
12336.528320 0.679030 0.258423 0.966066 12336.558030
12338.692630 0.678503 0.258560 0.964762 12338.537490
12340.926640 0.678750 0.258917 0.963747 12340.523190
12343.060190 0.678753 0.259220 0.962581 12342.637990
12345.190340 0.678327 0.259293 0.961669 12344.894090
12347.396510 0.678870 0.259757 0.960684 12347.336260
12349.540780 0.678070 0.259667 0.959852 12349.461250
12351.748600 0.678247 0.259880 0.959291 12351.525960
12354.005380 0.678353 0.260143 0.958436 12353.493130
12356.131120 0.678110 0.260230 0.957744 12355.589960
12358.278580 0.678087 0.260437 0.956915 12357.875560
12360.426830 0.677937 0.260590 0.956106 12360.294690
