# XDI/1.0 Athena/0.9.21
# Element.edge:                  L3
# Element.symbol:                Au
# Column.1:                      energy eV
# Column.2:                      xmu
# Column.3:                      bkg
# Column.4:                      pre_edge
# Column.5:                      post_edge
# Column.6:                      der
# Column.7:                      sec
# Column.8:                      i0
# Athena.e0:                     11920.08429
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              0.9178349
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -150.000 -30.000
# Athena.pre_edge_line:          4.952595 - 0.00032483 * E
# Athena.normalization_range:    150.000 1676.466
# Athena.post_edge_polynomial:   13.110132 - 0.00131986 * E + 3.25230595e-008 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 1776.434
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 21.593
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 19.593
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         xmu        bkg        pre_edge        post_edge        der        sec        i0
  11969.176        2.0224110        1.9693804        1.0646495        1.9717786       0.18963211E-02  -0.49917727E-02    1.0000000
  11970.244        2.0214110        1.9691097        1.0643026        1.9712005      -0.27572612E-02  -0.40923607E-02    1.0000000
  11971.220        2.0167740        1.9687862        1.0639854        1.9706721      -0.64701831E-02  -0.28175764E-02    1.0000000
  11972.233        2.0085420        1.9683783        1.0636565        1.9701241      -0.83613362E-02  -0.80171847E-03    1.0000000
  11973.244        1.9998540        1.9679021        1.0633281        1.9695771      -0.80925406E-02   0.68620003E-03    1.0000000
  11974.229        1.9923850        1.9673756        1.0630080        1.9690439      -0.69913173E-02   0.90477723E-03    1.0000000
  11975.259        1.9857630        1.9667645        1.0626734        1.9684867      -0.62689621E-02   0.64067105E-03    1.0000000
  11976.243        1.9797600        1.9661265        1.0623538        1.9679545      -0.57010763E-02   0.74452471E-03    1.0000000
  11977.258        1.9743690        1.9654180        1.0620242        1.9674058      -0.47809773E-02   0.54785842E-03    1.0000000
  11978.298        1.9699360        1.9646426        1.0616863        1.9668433      -0.45753313E-02   0.23984339E-03    1.0000000
  11979.321        1.9649300        1.9638367        1.0613541        1.9662903      -0.42861756E-02   0.84707507E-03    1.0000000
  11980.342        1.9611760        1.9629937        1.0610224        1.9657383      -0.28440962E-02   0.10911613E-02    1.0000000
  11981.401        1.9590130        1.9620833        1.0606783        1.9651656      -0.20160691E-02   0.22344319E-03    1.0000000
  11982.426        1.9569730        1.9611723        1.0603453        1.9646115      -0.23782730E-02  -0.42676108E-03    1.0000000
  11983.454        1.9541310        1.9602348        1.0600115        1.9640562      -0.28921029E-02  -0.58621512E-03    1.0000000
  11984.479        1.9510380        1.9592798        1.0596787        1.9635025      -0.35812685E-02  -0.10391609E-02    1.0000000
  11985.530        1.9466960        1.9582840        1.0593371        1.9629345      -0.50494840E-02  -0.11971194E-02    1.0000000
  11986.556        1.9405480        1.9573015        1.0590038        1.9623802      -0.60682123E-02  -0.80130329E-03    1.0000000
  11987.550        1.9344390        1.9563442        1.0586810        1.9618434      -0.66680124E-02  -0.39982677E-03    1.0000000
  11988.587        1.9270050        1.9553438        1.0583441        1.9612832      -0.68802765E-02   0.45200694E-03    1.0000000
  11989.575        1.9205030        1.9543938        1.0580231        1.9607495      -0.57524724E-02   0.12099048E-02    1.0000000
  11990.595        1.9154530        1.9534210        1.0576918        1.9601988      -0.44505699E-02   0.14693245E-02    1.0000000
  11991.589        1.9115420        1.9524852        1.0573690        1.9596624      -0.27940611E-02   0.18683933E-02    1.0000000
  11992.596        1.9098620        1.9515505        1.0570418        1.9591185      -0.71185884E-03   0.16456263E-02    1.0000000
  11993.599        1.9101110        1.9506345        1.0567161        1.9585773       0.51402636E-03   0.84372856E-03    1.0000000
  11994.608        1.9108960        1.9497271        1.0563884        1.9580329       0.98536022E-03   0.51015696E-03    1.0000000
  11995.626        1.9121080        1.9488258        1.0560577        1.9574836       0.15479462E-02   0.50577204E-03    1.0000000
  11996.624        1.9140170        1.9479554        1.0557334        1.9569449       0.20051079E-02   0.44291827E-03    1.0000000
  11997.623        1.9161120        1.9470983        1.0554091        1.9564062       0.24324097E-02   0.67644221E-03    1.0000000
  11998.641        1.9189230        1.9462376        1.0550783        1.9558569       0.33694445E-02   0.10075376E-02    1.0000000
  11999.649        1.9229390        1.9453993        1.0547509        1.9553133       0.44738319E-02   0.10404375E-02    1.0000000
  12000.655        1.9279320        1.9445755        1.0544242        1.9547708       0.54645840E-02   0.99163832E-03    1.0000000
  12001.663        1.9339450        1.9437628        1.0540967        1.9542272       0.64710510E-02   0.88046991E-03    1.0000000
  12002.676        1.9410120        1.9429588        1.0537676        1.9536809       0.72442866E-02   0.33181677E-03    1.0000000
  12003.687        1.9486120        1.9421688        1.0534390        1.9531357       0.71428571E-02  -0.54205748E-03    1.0000000
  12004.695        1.9554340        1.9413940        1.0531117        1.9525925       0.61498292E-02  -0.13319491E-02    1.0000000
  12005.736        1.9612130        1.9406060        1.0527735        1.9520312       0.44136933E-02  -0.17634916E-02    1.0000000
  12006.769        1.9645880        1.9398372        1.0524380        1.9514747       0.24923476E-02  -0.15372732E-02    1.0000000
  12007.778        1.9663020        1.9390977        1.0521102        1.9509310       0.12748122E-02  -0.11206518E-02    1.0000000
  12008.783        1.9671550        1.9383733        1.0517839        1.9503898       0.23576962E-03  -0.11408337E-02    1.0000000
  12009.797        1.9667780        1.9376529        1.0514544        1.9498433      -0.10284397E-02  -0.10035216E-02    1.0000000
  12010.892        1.9649860        1.9368885        1.0510989        1.9492537      -0.18806776E-02  -0.66339264E-03    1.0000000
  12011.880        1.9628610        1.9362094        1.0507779        1.9487215      -0.24101274E-02  -0.55435996E-03    1.0000000
  12012.863        1.9602340        1.9355438        1.0504584        1.9481919      -0.29736980E-02  -0.53296166E-03    1.0000000
  12013.900        1.9568530        1.9348529        1.0501216        1.9476336      -0.34869125E-02  -0.18887800E-03    1.0000000
  12014.911        1.9530950        1.9341903        1.0497934        1.9470896      -0.33604012E-02   0.68652458E-04    1.0000000
  12015.922        1.9500580        1.9335372        1.0494648        1.9465450      -0.33480917E-02  -0.15520509E-03    1.0000000
  12016.932        1.9463270        1.9328953        1.0491367        1.9460015      -0.36741405E-02   0.25393823E-03    1.0000000
  12017.929        1.9426840        1.9322711        1.0488128        1.9454649      -0.28384377E-02   0.67244808E-03    1.0000000
  12018.949        1.9406040        1.9316429        1.0484818        1.9449165      -0.23183171E-02   0.44203572E-03    1.0000000
  12019.956        1.9379860        1.9310314        1.0481546        1.9443745      -0.19426656E-02   0.41224264E-03    1.0000000
  12021.973        1.9347280        1.9298346        1.0474993        1.9432893      -0.10714026E-02   0.47096458E-03    1.0000000
  12023.950        1.9337070        1.9286964        1.0468573        1.9422263      -0.61713096E-04   0.36133455E-03    1.0000000
  12026.008        1.9344790        1.9275459        1.0461887        1.9411196       0.38651000E-03   0.95914955E-04    1.0000000
  12027.965        1.9352590        1.9264834        1.0455529        1.9400675       0.32342573E-03  -0.88676624E-04    1.0000000
  12029.963        1.9357580        1.9254291        1.0449041        1.9389941       0.35834749E-04  -0.30163073E-03    1.0000000
  12031.956        1.9354020        1.9244060        1.0442567        1.9379232      -0.88024375E-03  -0.46128725E-03    1.0000000
  12033.953        1.9322450        1.9234081        1.0436077        1.9368500      -0.18051350E-02  -0.36999487E-03    1.0000000
  12035.975        1.9281470        1.9224249        1.0429512        1.9357645      -0.23672864E-02  -0.36565022E-03    1.0000000
  12038.001        1.9226640        1.9214646        1.0422931        1.9346768      -0.32850128E-02  -0.33284827E-03    1.0000000
  12039.985        1.9149740        1.9205473        1.0416486        1.9336118      -0.37020180E-02  -0.62965349E-04    1.0000000
  12041.978        1.9079420        1.9196475        1.0410013        1.9325424      -0.35354103E-02   0.14269580E-03    1.0000000
  12043.990        1.9008150        1.9187591        1.0403477        1.9314628      -0.31305341E-02   0.34359038E-03    1.0000000
  12046.004        1.8953380        1.9178891        1.0396935        1.9303826      -0.21520639E-02   0.51918535E-03    1.0000000
  12047.998        1.8921880        1.9170445        1.0390455        1.9293129      -0.10492706E-02   0.54320854E-03    1.0000000
  12049.997        1.8911480        1.9162141        1.0383964        1.9282415       0.17103605E-04   0.50365314E-03    1.0000000
